 8.94615849e-05  8.94615849e-05  8.94615849e-05  9.47909872e+01  8.94615849e-05  6.79407798e-01  8.94615849e-05 -3.74174949e+02 
 9.94615849e-05  9.94615849e-05  9.94615849e-05  1.03461300e+02  9.94615849e-05  7.51099051e-01  9.94615849e-05 -4.08399867e+02 
 1.09461585e-04  1.09461585e-04  1.09461585e-04  1.11650718e+02  1.09461585e-04  8.20530148e-01  1.09461585e-04 -4.40726518e+02 
 1.19461585e-04  1.19461585e-04  1.19461585e-04  1.19341810e+02  1.19461585e-04  8.87311171e-01  1.19461585e-04 -4.71086094e+02 
 1.29461585e-04  1.29461585e-04  1.29461585e-04  1.26519514e+02  1.29461585e-04  9.51059325e-01  1.29461585e-04 -4.99419133e+02 
 1.39461585e-04  1.39461585e-04  1.39461585e-04  1.29726619e+02  1.39461585e-04  9.80000000e-01  1.39461585e-04 -5.12078758e+02 
 1.49461585e-04  1.49461585e-04  1.49461585e-04  1.29726619e+02  1.49461585e-04  9.80000000e-01  1.49461585e-04 -5.12078758e+02 
 1.59461585e-04  1.59461585e-04  1.59461585e-04  1.29726619e+02  1.59461585e-04  9.80000000e-01  1.59461585e-04 -5.12078758e+02 
 1.69461585e-04  1.69461585e-04  1.69461585e-04  1.29726619e+02  1.69461585e-04  9.80000000e-01  1.69461585e-04 -5.12078758e+02 
 1.79461585e-04  1.79461585e-04  1.79461585e-04  1.29726619e+02  1.79461585e-04  9.80000000e-01  1.79461585e-04 -5.12078758e+02 
 1.89461585e-04  1.89461585e-04  1.89461585e-04  1.29726619e+02  1.89461585e-04  9.80000000e-01  1.89461585e-04 -5.12078758e+02 
 1.99461585e-04  1.99461585e-04  1.99461585e-04  1.29726619e+02  1.99461585e-04  9.80000000e-01  1.99461585e-04 -5.12078758e+02 
 2.09461585e-04  2.09461585e-04  2.09461585e-04  1.29726619e+02  2.09461585e-04  9.80000000e-01  2.09461585e-04 -5.12078758e+02 
 2.19461585e-04  2.19461585e-04  2.19461585e-04  1.29726619e+02  2.19461585e-04  9.80000000e-01  2.19461585e-04 -5.12078758e+02 
 2.29461585e-04  2.29461585e-04  2.29461585e-04  1.29726619e+02  2.29461585e-04  9.80000000e-01  2.29461585e-04 -5.12078758e+02 
 2.39461585e-04  2.39461585e-04  2.39461585e-04  1.29726619e+02  2.39461585e-04  9.80000000e-01  2.39461585e-04 -5.12078758e+02 
 2.49461585e-04  2.49461585e-04  2.49461585e-04  1.29726619e+02  2.49461585e-04  9.80000000e-01  2.49461585e-04 -5.12078758e+02 
 2.59461585e-04  2.59461585e-04  2.59461585e-04  1.29726619e+02  2.59461585e-04  9.80000000e-01  2.59461585e-04 -5.12078758e+02 
 2.69461585e-04  2.69461585e-04  2.69461585e-04  1.29726619e+02  2.69461585e-04  9.80000000e-01  2.69461585e-04 -5.12078758e+02 
 2.79461585e-04  2.79461585e-04  2.79461585e-04  1.29726619e+02  2.79461585e-04  9.80000000e-01  2.79461585e-04 -5.12078758e+02 
 2.89461585e-04  2.89461585e-04  2.89461585e-04  1.29726619e+02  2.89461585e-04  9.80000000e-01  2.89461585e-04 -5.12078758e+02 
 2.99461585e-04  2.99461585e-04  2.99461585e-04  1.29726619e+02  2.99461585e-04  9.80000000e-01  2.99461585e-04 -5.12078758e+02 
